District,Financial Institution,Type of Assistance,Contact Email,Telephone Number
Kampala,Bank of Uganda,Loans,info@bog.ug,+256 414 258 441
Wakiso,Centenary Bank,Agricultural Loans,info@centenarybank.co.ug,+256 414 251 276
Mbarara,PostBank Uganda,Livestock Financing,info@postbank.co.ug,+256 414 236 789
Gulu,Pride Microfinance,Small Business Loans,info@pridemicrofinance.co.ug,+256 414 231 200
Jinja,Opportunity Bank,Agricultural Loans,info@opportunitybank.co.ug,+256 414 320 300
Arua,Stanbic Bank Uganda,Livestock Loans,info@stanbicbank.co.ug,+256 414 232 004
Lira,Finance Trust Bank,Agricultural Financing,info@financetrust.co.ug,+256 414 341 275
Fort Portal,DFCU Bank,Agricultural Credit,info@dfcubank.co.ug,+256 312 300 200
Masaka,Housing Finance Bank,Rural Development Loans,info@housingfinance.co.ug,+256 414 236 120
Mbale,Equity Bank Uganda,Agribusiness Loans,info@equitybank.co.ug,+256 414 223 276
Soroti,BRAC Uganda,Smallholder Farmer Loans,info@brac.net,+256 414 232 158
Hoima,UGAFODE Microfinance,Agricultural Loans,info@ugafode.co.ug,+256 414 345 568
Luwero,UMRA,Microcredit,info@umra.go.ug,+256 414 251 463
Kabale,Pride Microfinance,Small Business Loans,info@pridemicrofinance.co.ug,+256 414 231 200
Mubende,Centenary Bank,Agricultural Loans,info@centenarybank.co.ug,+256 414 251 276
Tororo,PostBank Uganda,Livestock Financing,info@postbank.co.ug,+256 414 236 789
Bushenyi,Opportunity Bank,Agricultural Loans,info@opportunitybank.co.ug,+256 414 320 300
Ntungamo,Stanbic Bank Uganda,Livestock Loans,info@stanbicbank.co.ug,+256 414 232 004
Kasese,Finance Trust Bank,Agricultural Financing,info@financetrust.co.ug,+256 414 341 275
Mukono,DFCU Bank,Agricultural Credit,info@dfcubank.co.ug,+256 312 300 200
Iganga,Housing Finance Bank,Rural Development Loans,info@housingfinance.co.ug,+256 414 236 120
Masindi,Equity Bank Uganda,Agribusiness Loans,info@equitybank.co.ug,+256 414 223 276
Rakai,BRAC Uganda,Smallholder Farmer Loans,info@brac.net,+256 414 232 158
Kabarole,UGAFODE Microfinance,Agricultural Loans,info@ugafode.co.ug,+256 414 345 568
Nakasongola,UMRA,Microcredit,info@umra.go.ug,+256 414 251 463
Kibaale,Pride Microfinance,Small Business Loans,info@pridemicrofinance.co.ug,+256 414 231 200
Moroto,Centenary Bank,Agricultural Loans,info@centenarybank.co.ug,+256 414 251 276
Kanungu,PostBank Uganda,Livestock Financing,info@postbank.co.ug,+256 414 236 789
Kapchorwa,Opportunity Bank,Agricultural Loans,info@opportunitybank.co.ug,+256 414 320 300
Nebbi,Stanbic Bank Uganda,Livestock Loans,info@stanbicbank.co.ug,+256 414 232 004
